,var,station_id,period,season,trend [%/yr],trend err [%/yr],yoffs,slope,slope err,num yrs,pval,unit
82,concpm25,ES0011R,2000-2019,summer,-3.269677961238868,1.1216769499706523,11.22627256466792,-0.3670629599155524,0.1113784006737936,18,0.013730471770781806,ug m-3
83,concpm25,ES0011R,2000-2019,autumn,-2.0519951844253694,1.1881527003358228,6.5908618226195825,-0.13524416721228397,0.0756300555335151,18,0.047735620701410846,ug m-3
84,concpm25,ES0011R,2000-2019,winter,-2.189077700055165,1.1008298864415411,6.605328045639338,-0.14459576326258042,0.06831371784210205,18,0.08128386643802595,ug m-3
85,concpm25,ES0011R,2000-2010,all,-3.839016773448837,0.9895177226157502,9.809785851836201,-0.37659932429140264,0.09163430264329836,10,0.016666115520282188,ug m-3
86,concpm25,ES0011R,2000-2010,spring,-2.8839801099113296,1.4610945616081286,7.314192833723844,-0.2109398665251555,0.10484660996331074,10,0.10831349206349207,ug m-3
87,concpm25,ES0011R,2000-2010,summer,-4.772293133730201,2.1344426797415776,14.96086993482378,-0.7139765686459011,0.31156561573346453,10,0.016666115520282188,ug m-3
88,concpm25,ES0011R,2000-2010,autumn,-4.009131984554689,2.295410667854116,7.832371645503573,-0.31401011678907614,0.1746194100096113,10,0.21637345679012346,ug m-3
89,concpm25,ES0011R,2000-2010,winter,-4.245882396008454,3.2737489506268527,8.416390800476075,-0.3573500553766887,0.2703483899434408,9,0.18018077601410934,ug m-3
90,concpm25,ES0011R,2010-2019,all,0.954495663591139,2.1599286073576285,5.1380604318253065,0.049042564014464704,0.11090237556984939,9,0.612202380952381,ug m-3
91,concpm25,ES0011R,2010-2019,spring,-0.7968716478646495,3.9142807587909534,4.862759669621785,-0.0387499531110127,0.19020174344380708,9,1.0,ug m-3
92,concpm25,ES0011R,2010-2019,summer,3.532926288157808,3.018597041899444,6.245410993364123,0.2206457667880588,0.18677299930935812,9,0.11943893298059964,ug m-3
93,concpm25,ES0011R,2010-2019,autumn,-0.7054513800732641,3.812484408709007,5.048400878906249,-0.03561401367187493,0.1924025160925729,9,0.761414241622575,ug m-3
94,concpm25,ES0011R,2010-2019,winter,5.814667803783342,4.63995160506447,3.539925155185516,0.20583488827659974,0.1570995052655538,10,0.2912483465608466,ug m-3
95,concpm25,ES0011R,2005-2019,all,-2.2342126182812483,1.0118393321661774,6.514933358539235,-0.1455574631690979,0.0638918280601502,14,0.15716301603764402,ug m-3
96,concpm25,ES0011R,2005-2019,spring,-2.711990740622311,1.7461568622502022,6.100861718257269,-0.16545480489730835,0.10318200897287444,14,0.10102087460966429,ug m-3
97,concpm25,ES0011R,2005-2019,summer,-1.2735506205226526,2.668410988796941,7.998796685536703,-0.10186872482299805,0.212587989941992,14,0.5182528584593317,ug m-3
98,concpm25,ES0011R,2005-2019,autumn,-1.4362393199549257,1.7572566213554637,5.491650025049845,-0.0788732369740804,0.09580878416697183,14,0.3308114209974329,ug m-3
99,concpm25,ES0011R,2005-2019,winter,-2.2573605530697467,1.4902262675398061,5.80759301330104,-0.13109831376509232,0.08388670782248187,15,0.23945881568583288,ug m-3
100,concpm25,NL0008R,2000-2019,all,,,,,,1,,ug m-3
101,concpm25,NL0008R,2000-2019,spring,,,,,,1,,ug m-3
102,concpm25,NL0008R,2000-2019,summer,,,,,,1,,ug m-3
103,concpm25,NL0008R,2000-2019,autumn,,,,,,1,,ug m-3
104,concpm25,NL0008R,2000-2019,winter,,,,,,2,,ug m-3
105,concpm25,NL0008R,2000-2010,all,,,,,,1,,ug m-3
106,concpm25,NL0008R,2000-2010,spring,,,,,,1,,ug m-3
107,concpm25,NL0008R,2000-2010,summer,,,,,,1,,ug m-3
108,concpm25,NL0008R,2000-2010,autumn,,,,,,1,,ug m-3
109,concpm25,NL0008R,2000-2010,winter,,,,,,1,,ug m-3
110,concpm25,NL0008R,2010-2019,all,,,,,,1,,ug m-3
111,concpm25,NL0008R,2010-2019,spring,,,,,,1,,ug m-3
112,concpm25,NL0008R,2010-2019,summer,,,,,,1,,ug m-3
113,concpm25,NL0008R,2010-2019,autumn,,,,,,1,,ug m-3
114,concpm25,NL0008R,2010-2019,winter,,,,,,2,,ug m-3
115,concpm25,NL0008R,2005-2019,all,,,,,,1,,ug m-3
116,concpm25,NL0008R,2005-2019,spring,,,,,,1,,ug m-3
117,concpm25,NL0008R,2005-2019,summer,,,,,,1,,ug m-3
118,concpm25,NL0008R,2005-2019,autumn,,,,,,1,,ug m-3
119,concpm25,NL0008R,2005-2019,winter,,,,,,2,,ug m-3
120,concpm25,NO0002R;NO0001R,2000-2019,all,,,,,,12,,ug m-3
121,concpm25,NO0002R;NO0001R,2000-2019,spring,,,,,,10,,ug m-3
122,concpm25,NO0002R;NO0001R,2000-2019,summer,,,,,,10,,ug m-3
123,concpm25,NO0002R;NO0001R,2000-2019,autumn,,,,,,11,,ug m-3
124,concpm25,NO0002R;NO0001R,2000-2019,winter,,,,,,12,,ug m-3
125,concpm25,NO0002R;NO0001R,2000-2010,all,-0.517468866013225,7.063921464126318,3.379046310981115,-0.017485512627495686,0.23867738495270396,7,1.0,ug m-3
126,concpm25,NO0002R;NO0001R,2000-2010,spring,,,,,,5,,ug m-3
127,concpm25,NO0002R;NO0001R,2000-2010,summer,,,,,,5,,ug m-3
128,concpm25,NO0002R;NO0001R,2000-2010,autumn,,,,,,6,,ug m-3
129,concpm25,NO0002R;NO0001R,2000-2010,winter,,,,,,6,,ug m-3
130,concpm25,NO0002R;NO0001R,2010-2019,all,,,,,,5,,ug m-3
131,concpm25,NO0002R;NO0001R,2010-2019,spring,,,,,,5,,ug m-3
132,concpm25,NO0002R;NO0001R,2010-2019,summer,,,,,,5,,ug m-3
133,concpm25,NO0002R;NO0001R,2010-2019,autumn,,,,,,5,,ug m-3
134,concpm25,NO0002R;NO0001R,2010-2019,winter,,,,,,6,,ug m-3
135,concpm25,NO0002R;NO0001R,2005-2019,all,,,,,,7,,ug m-3
136,concpm25,NO0002R;NO0001R,2005-2019,spring,,,,,,6,,ug m-3
137,concpm25,NO0002R;NO0001R,2005-2019,summer,,,,,,6,,ug m-3
138,concpm25,NO0002R;NO0001R,2005-2019,autumn,,,,,,6,,ug m-3
139,concpm25,NO0002R;NO0001R,2005-2019,winter,,,,,,8,,ug m-3
140,concpm25,SE0005R,2000-2019,all,,,,,,8,,ug m-3
141,concpm25,SE0005R,2000-2019,spring,,,,,,8,,ug m-3
142,concpm25,SE0005R,2000-2019,summer,,,,,,8,,ug m-3
143,concpm25,SE0005R,2000-2019,autumn,,,,,,8,,ug m-3
144,concpm25,SE0005R,2000-2019,winter,,,,,,10,,ug m-3
145,concpm25,SE0005R,2000-2010,all,,,,,,1,,ug m-3
146,concpm25,SE0005R,2000-2010,spring,,,,,,1,,ug m-3
147,concpm25,SE0005R,2000-2010,summer,,,,,,1,,ug m-3
148,concpm25,SE0005R,2000-2010,autumn,,,,,,1,,ug m-3
149,concpm25,SE0005R,2000-2010,winter,,,,,,1,,ug m-3
150,concpm25,SE0005R,2010-2019,all,-1.6934818044421274,2.5280415376641283,1.335355943441391,-0.02261400992671646,0.03367995651382384,8,0.5484126984126985,ug m-3
151,concpm25,SE0005R,2010-2019,spring,-0.9079455855856652,4.308591579344397,1.244244757625792,-0.011297065350744437,0.05358473211526871,8,1.0,ug m-3
152,concpm25,SE0005R,2010-2019,summer,-2.315926871178657,3.0206255333040657,1.2878424227237706,-0.029825488726298033,0.038691272338231414,8,0.39875992063492066,ug m-3
153,concpm25,SE0005R,2010-2019,autumn,-0.0552180844243213,2.988771605959859,1.392930771623339,-0.0007691496894473254,0.041631436182393,8,1.0,ug m-3
154,concpm25,SE0005R,2010-2019,winter,0.9974549357387588,1.9769039646571045,1.3807748456796012,0.01377260684967041,0.02724677200118701,10,0.7274895282186948,ug m-3
155,concpm25,SE0005R,2005-2019,all,,,,,,8,,ug m-3
156,concpm25,SE0005R,2005-2019,spring,,,,,,8,,ug m-3
157,concpm25,SE0005R,2005-2019,summer,,,,,,8,,ug m-3
158,concpm25,SE0005R,2005-2019,autumn,,,,,,8,,ug m-3
159,concpm25,SE0005R,2005-2019,winter,1.0498119408380802,2.087038879892723,1.3119118114312491,0.01377260684967041,0.02724677200118701,10,0.7274895282186948,ug m-3
160,concpm25,NL0644R,2000-2019,all,,,,,,6,,ug m-3
161,concpm25,NL0644R,2000-2019,spring,,,,,,6,,ug m-3
162,concpm25,NL0644R,2000-2019,summer,,,,,,5,,ug m-3
163,concpm25,NL0644R,2000-2019,autumn,,,,,,6,,ug m-3
164,concpm25,NL0644R,2000-2019,winter,,,,,,6,,ug m-3
165,concpm25,NL0644R,2000-2010,all,,,,,,0,,ug m-3
166,concpm25,NL0644R,2000-2010,spring,,,,,,0,,ug m-3
167,concpm25,NL0644R,2000-2010,summer,,,,,,0,,ug m-3
168,concpm25,NL0644R,2000-2010,autumn,,,,,,0,,ug m-3
169,concpm25,NL0644R,2000-2010,winter,,,,,,0,,ug m-3
170,concpm25,NL0644R,2010-2019,all,,,,,,6,,ug m-3
171,concpm25,NL0644R,2010-2019,spring,,,,,,6,,ug m-3
172,concpm25,NL0644R,2010-2019,summer,,,,,,5,,ug m-3
173,concpm25,NL0644R,2010-2019,autumn,,,,,,6,,ug m-3
174,concpm25,NL0644R,2010-2019,winter,,,,,,6,,ug m-3
175,concpm25,NL0644R,2005-2019,all,,,,,,6,,ug m-3
176,concpm25,NL0644R,2005-2019,spring,,,,,,6,,ug m-3
177,concpm25,NL0644R,2005-2019,summer,,,,,,5,,ug m-3
178,concpm25,NL0644R,2005-2019,autumn,,,,,,6,,ug m-3
179,concpm25,NL0644R,2005-2019,winter,,,,,,6,,ug m-3
180,concpm25,NL0011R,2000-2019,all,,,,,,2,,ug m-3
181,concpm25,NL0011R,2000-2019,spring,,,,,,2,,ug m-3
182,concpm25,NL0011R,2000-2019,summer,,,,,,1,,ug m-3
183,concpm25,NL0011R,2000-2019,autumn,,,,,,1,,ug m-3
184,concpm25,NL0011R,2000-2019,winter,,,,,,2,,ug m-3
185,concpm25,NL0011R,2000-2010,all,,,,,,2,,ug m-3
186,concpm25,NL0011R,2000-2010,spring,,,,,,2,,ug m-3
187,concpm25,NL0011R,2000-2010,summer,,,,,,1,,ug m-3
188,concpm25,NL0011R,2000-2010,autumn,,,,,,1,,ug m-3
189,concpm25,NL0011R,2000-2010,winter,,,,,,2,,ug m-3
190,concpm25,NL0011R,2010-2019,all,,,,,,1,,ug m-3
191,concpm25,NL0011R,2010-2019,spring,,,,,,1,,ug m-3
192,concpm25,NL0011R,2010-2019,summer,,,,,,0,,ug m-3
193,concpm25,NL0011R,2010-2019,autumn,,,,,,0,,ug m-3
194,concpm25,NL0011R,2010-2019,winter,,,,,,1,,ug m-3
195,concpm25,NL0011R,2005-2019,all,,,,,,2,,ug m-3
196,concpm25,NL0011R,2005-2019,spring,,,,,,2,,ug m-3
197,concpm25,NL0011R,2005-2019,summer,,,,,,1,,ug m-3
198,concpm25,NL0011R,2005-2019,autumn,,,,,,1,,ug m-3
199,concpm25,NL0011R,2005-2019,winter,,,,,,2,,ug m-3
200,concpm25,ES0010R,2000-2019,all,-2.9512120785839406,0.6277312289082124,9.542903110767021,-0.28163130925251895,0.05292667062194273,18,6.992118589945655e-05,ug m-3
201,concpm25,ES0010R,2000-2019,spring,-2.600568502226848,0.6878295913452264,9.66927887996038,-0.25145622094472264,0.06182435907498754,18,0.0001549082772801415,ug m-3
202,concpm25,ES0010R,2000-2019,summer,-3.0819051273861784,1.059496205589047,10.176713576683632,-0.3136366575192182,0.0970556090275447,18,0.000324628494137499,ug m-3
203,concpm25,ES0010R,2000-2019,autumn,-2.6331501870308003,0.9224296625788981,9.146826297044754,-0.24084967374801636,0.08040738436910844,18,0.00010483725733996005,ug m-3
204,concpm25,ES0010R,2000-2019,winter,-2.9879040449775456,0.8797884794081027,9.294346737861636,-0.27770616213480637,0.07355051570468474,18,0.003934978451529695,ug m-3
205,concpm25,ES0010R,2000-2010,all,-4.551942378147707,1.8262236313976887,11.846720290184024,-0.5392558813095096,0.21168899883826559,10,0.00468694885361552,ug m-3
206,concpm25,ES0010R,2000-2010,spring,-3.172668482231187,1.3890994086263024,10.516736533906727,-0.3336611853705513,0.1429042362031483,10,0.02860945767195767,ug m-3
