,concpm25,concso4,concnh4,concno3pm25,concCecpm25,concoaf,concCocpm25
2010-07-11,14.69252,1.9251673,0.72446877,0.45922878,0.4732627,8.138682,4.220086
2010-07-12,14.983817,2.1560688,0.8100887,0.43662983,0.31516695,8.11549,4.091652
2010-07-13,14.456661,1.8419694,0.69416106,0.56064796,0.34399125,7.7193756,3.8996768
2010-07-14,22.005688,4.8421974,1.7643553,1.3326749,0.414205,6.9451776,3.5601432
2010-07-15,11.826771,2.1622527,0.8268712,0.50106597,0.33764353,4.9585814,2.611578
2010-07-16,15.445311,2.9166377,1.1213742,0.9150599,0.37881252,5.98552,3.1269662
2010-07-17,13.926627,2.5553803,0.9752541,0.75497895,0.35373142,5.5114865,2.8675165
2010-07-18,11.897522,2.0356514,0.8343349,0.7114457,0.33744526,4.8250012,2.5458798
2010-07-19,14.960444,2.9009202,1.112579,0.70894957,0.31116322,6.241068,3.259119
2010-07-20,15.18179,2.5111418,0.96167475,0.91228086,0.35619178,6.5167546,3.3334756
2010-07-21,12.376347,1.9650751,0.748531,0.6127223,0.19417603,5.845349,2.918123
2010-07-22,7.449347,0.9437194,0.3780762,0.28191736,0.20019823,4.170633,2.1622753
2010-07-23,4.953572,1.0393803,0.4295345,0.20010176,0.14974989,1.919663,1.0183619
2010-07-24,8.095046,1.7157203,0.7591029,0.51116735,0.2614594,2.891377,1.5643024
2010-07-25,7.1581163,1.5396397,0.64309764,0.39873815,0.1737389,2.6692343,1.4136639
2010-07-26,8.787961,1.5547969,0.6379776,0.49682245,0.26192603,3.4980948,1.8555018
2010-07-27,10.026525,1.9961627,0.76763034,0.55953944,0.2646716,3.42678,1.8308938
2010-07-28,11.559324,1.9472939,0.74387395,0.5480433,0.3405015,4.841161,2.5668154
2010-07-29,2.6210706,0.30384642,0.11899328,0.040976904,0.072292075,1.7500694,0.93881744
2010-07-30,7.584133,1.5118954,0.6923067,0.5797993,0.32849273,2.4317381,1.3103045
2010-07-31,8.582087,1.9230579,0.74105936,0.32815504,0.2284187,3.2252493,1.6869153
2010-08-01,9.47673,1.5999945,0.6570839,0.4850168,0.3145569,4.4979873,2.332342
2010-08-02,4.430567,0.77315503,0.30513346,0.16400062,0.15250918,2.159909,1.1255082
2010-08-03,7.1701384,1.8194897,0.8290083,0.5854826,0.17784508,2.0190196,1.085405
2010-08-04,6.5469637,1.5561548,0.6710616,0.4054086,0.17448877,2.0811844,1.1071466
2010-08-05,3.862268,0.83868784,0.33174062,0.11385226,0.14089338,1.483786,0.79326284
2010-08-06,7.9229975,1.3672122,0.7923887,1.1516812,0.3130228,2.0590463,1.1434112
2010-08-07,10.148086,1.9973001,0.8028378,0.5787937,0.29336542,3.4515355,1.8570553
2010-08-08,8.914939,1.5934523,0.60393435,0.32281062,0.31832805,3.9619992,2.1054492
2010-08-09,9.654365,1.483341,0.6082501,0.2832796,0.26538944,4.9352117,2.645622
2010-08-10,17.064402,3.210249,1.4852517,1.3030002,0.38899451,6.707574,3.56019
2010-08-11,13.181977,2.086982,0.8454261,0.67693347,0.27740118,6.205207,3.2507446
2010-08-12,5.0921397,0.8040348,0.31382328,0.20108873,0.15079707,2.506093,1.312675
2010-08-13,4.2021375,0.6161831,0.4204999,0.6788167,0.249681,1.5048038,0.8057418
2010-08-14,5.0658545,1.1031463,0.46851245,0.24439614,0.14077806,1.9413642,1.0289147
2010-08-15,2.882029,0.43649456,0.19806919,0.13913608,0.11141067,1.4509854,0.7777183
2010-08-16,7.80082,1.9030399,0.77590454,0.3468841,0.30014938,2.3562372,1.2824292
2010-08-17,10.394228,3.099336,0.97807586,0.30155092,0.22852466,3.0610523,1.6270438
2010-08-18,12.26707,2.8061004,1.2868716,1.032907,0.36776692,4.064863,2.1677477
2010-08-19,9.354314,2.1033154,0.9148894,0.5737272,0.3690015,2.929227,1.5718586
2010-08-20,8.76762,1.4823503,0.7044279,0.5701668,0.34478,3.9030073,2.1171725
2010-08-21,9.2041025,1.3366777,0.50999683,0.08166148,0.31340808,5.477022,2.8806586
2010-08-22,6.938248,0.9210015,0.34599358,0.06629677,0.19082788,4.378042,2.255305
2010-08-23,15.778883,2.244785,0.85862726,0.73437124,0.3531815,6.109065,3.191296
2010-08-24,8.402448,0.7228945,0.28111553,0.18579449,0.23030876,5.274277,2.8259165
2010-08-25,9.186614,1.4204283,0.5410474,0.3212632,0.2813649,4.435999,2.3325171
2010-08-26,15.482129,2.6537971,0.99705654,0.78621805,0.29745162,6.1557174,3.1762633
2010-08-27,11.880285,1.1820693,0.4486023,0.5292122,0.22972693,4.1002507,2.1851184
2010-08-28,7.362085,1.3015895,0.5683242,0.48941636,0.22353654,2.2064407,1.1977539
2010-08-29,7.6737537,1.5374699,0.7108891,0.70059204,0.24708138,2.28281,1.2267708
2010-08-30,7.4499006,1.3952465,0.6564922,0.65040857,0.25901228,2.414995,1.2962513
2010-08-31,8.276952,1.5841386,0.66783506,0.5182475,0.27790982,2.7163408,1.4711856
2010-09-01,13.031391,2.3364766,1.450123,2.2700763,0.47317654,3.5119953,1.9168596
2010-09-02,10.098637,1.7170879,0.98166454,1.5215266,0.25837418,3.2258258,1.7161417
2010-09-03,11.208707,2.1443384,0.870076,0.5129525,0.412345,4.596959,2.438072
2010-09-04,8.528745,1.5181798,0.64111567,0.4838243,0.21471307,3.906569,2.0526106
2010-09-05,14.405811,2.8844519,1.1795107,1.0008309,0.38279134,5.4202766,2.8158188
2010-09-06,13.176767,2.4604452,1.0099504,0.9084834,0.30813736,5.206099,2.6496017
2010-09-07,6.2893395,1.1591821,0.46845677,0.34369144,0.15946779,2.4277346,1.2649546
2010-09-08,2.9795384,0.5516741,0.22728294,0.08797236,0.123678885,1.2496738,0.68531483
2010-09-09,3.3867168,0.638026,0.2650827,0.11223305,0.11192818,1.4900291,0.80555147
2010-09-10,8.736592,1.4643382,1.0178688,1.6815003,0.3427024,2.402269,1.3214368
2010-09-11,6.987145,1.4199538,0.6270056,0.5052414,0.2533878,2.3722157,1.2832147
2010-09-12,10.247542,1.9260347,0.9943966,1.2069135,0.39648098,3.4138045,1.8637713
2010-09-13,10.7521715,2.1528373,1.1822246,1.5791402,0.32277337,2.7808166,1.5085012
2010-09-14,13.670222,2.8513765,1.4337438,1.7507634,0.397288,3.7239606,2.0003078
2010-09-15,13.644478,2.414239,1.1861736,1.5192182,0.32881194,4.5194545,2.416571
2010-09-16,10.766817,1.7895821,1.2052001,2.1375978,0.35948452,3.1190834,1.6601083
2010-09-17,0.83215547,0.047792815,0.018833436,0.004281357,0.035088338,0.6769647,0.3517256
2010-09-18,6.8451147,0.6341739,0.93053436,2.388026,0.2549468,1.8614571,1.0297016
2010-09-19,13.928354,1.2437826,2.029346,5.430974,0.35988054,2.6521764,1.4728842
2010-09-20,6.6396317,1.129746,0.7680314,1.2442755,0.2048368,2.0269907,1.07374
2010-09-21,1.3247077,0.15317975,0.060533285,0.012351633,0.04239155,0.90919477,0.48229668
